family,x,y,count
P2,0.43,1.24,5
P2,0.42,1.24,55
P2,-0.24,0.72,2188
P2,-0.24,0.73,2063
P2,-0.23,0.73,2753
P2,-0.22,0.73,2555
P2,-0.22,0.72,2214
P2,-0.23,0.62,3488
P2,-0.05,0.26,10033
P2,-0.04,0.26,9924
P2,-0.04,0.25,12066
P2,-0.03,0.25,11040
P2,-0.01,0.32,7014
P2,-0.19,0.89,1257
P2,-0.18,0.89,1258
P2,-0.01,0.21,13165
P2,-0.02,0.21,13689
P2,-0.03,0.21,13854
P2,0.09,0.77,44045
P2,0.11,0.77,11956
P2,0.08,0.77,39177
P2,0.03,0.73,24109
P2,0.01,0.72,128638
P2,-0.10,0.72,1570
P2,-0.10,0.73,2017
P2,-0.11,0.72,1509
P2,0.07,0.22,9901
P2,-0.01,0.24,13420
P2,0.15,0.91,4001
P2,0.16,0.91,5457
P2,0.16,0.92,2572
P2,0.17,0.91,4562
P2,0.19,0.80,1081
P2,0.19,0.81,749
P2,0.20,0.81,638
P2,0.20,0.80,688
P2,0.21,0.80,687
P2,0.22,0.78,6240
P2,0.23,0.78,4420
P2,-0.01,0.26,9818
P2,-0.02,0.26,9696
P2,-0.03,0.26,10612
P2,0.13,0.40,241281
P2,0.14,0.43,10730
P2,0.09,0.37,226205
P2,-0.04,0.55,2878
P2,-0.05,0.55,3224
P2,-0.09,1.00,358
P2,-0.09,1.01,438
P2,-0.10,1.01,437
P2,-0.10,1.00,354
P2,-0.14,0.43,2312
P2,-0.15,0.43,1556
P2,-0.16,0.43,973
P2,-0.01,0.56,2787
P2,-0.01,0.57,3138
P2,-0.02,0.57,2742
P2,-0.02,0.56,3274
P2,-0.04,0.84,4933
P2,-0.04,0.85,1839
P2,-0.05,0.85,1531
P2,-0.06,0.85,851
P2,-0.06,0.84,1154
P2,0.19,0.96,1140
P2,0.20,0.96,1061
P2,0.21,0.96,987
P2,0.02,0.50,3363
P2,0.02,0.51,3284
P2,0.01,0.51,3124
P2,0.01,0.50,3943
P2,0.00,0.50,4006
P2,-0.17,0.97,1098
P2,-0.16,0.97,939
P2,-0.04,0.47,4002
P2,-0.04,0.48,3933
P2,-0.05,0.47,3040
P2,-0.12,0.42,2399
P2,-0.12,0.43,2516
P2,-0.13,0.43,2465
P2,-0.14,0.42,1578
P2,-0.24,0.41,2661
P2,-0.23,0.41,1816
P2,0.16,0.66,60827
P2,-0.13,0.82,845
P2,-0.14,0.82,970
P2,-0.14,0.83,599
P2,-0.15,0.83,531
P2,-0.15,0.82,671
P2,0.01,0.28,7996
P2,0.24,0.29,4540
P2,0.23,0.29,982
P2,0.22,0.29,1228
P2,0.12,0.85,1569
P2,0.12,0.86,9893
P2,0.11,0.86,10196
P2,0.11,0.85,1409
P2,-0.05,0.43,4850
P2,-0.06,0.43,4469
P2,-0.07,0.43,3558
P2,-0.24,1.38,500
P2,-0.24,1.37,644
P2,0.08,0.34,241713
P2,0.08,0.33,43372
P2,-0.06,0.30,6137
P2,-0.07,0.31,5616
P2,-0.07,0.30,4650
P2,-0.05,0.65,2775
P2,-0.06,0.65,2921
P2,-0.07,0.65,2706
P2,0.28,0.78,388
P2,0.28,0.79,474
P2,0.29,0.79,487
P2,0.30,0.79,465
P2,0.30,0.78,365
P2,-0.04,0.93,815
P2,-0.05,0.93,639
P2,-0.05,0.92,834
P2,0.18,0.66,30351
P2,-0.12,0.44,2187
P2,-0.12,0.45,2076
P2,-0.13,0.45,2133
P2,-0.13,0.44,1930
P2,-0.14,0.44,1639
P2,0.03,0.22,13223
P2,0.03,0.23,12553
P2,0.02,0.23,14481
P2,-0.10,0.50,2103
