family,x,y,count
P2,0.19,0.87,533
P2,0.19,0.88,330
P2,0.20,0.88,281
P2,0.21,0.88,128
P2,0.21,0.87,359
P2,0.16,0.51,2774
P2,-0.12,0.24,811
P2,-0.13,0.24,407
P2,-0.14,0.24,77
P2,0.36,0.73,27
P2,0.37,0.73,44
P2,0.16,0.50,2429
P2,-0.24,0.66,448
P2,-0.23,0.66,526
P2,0.43,1.24,2
P2,0.42,1.24,16
P2,-0.24,0.72,536
P2,-0.24,0.73,388
P2,-0.23,0.73,642
P2,-0.22,0.73,582
P2,-0.22,0.72,417
P2,-0.23,0.62,722
P2,-0.05,0.26,1878
P2,-0.04,0.26,1930
P2,-0.04,0.25,2327
P2,-0.03,0.25,2114
P2,-0.01,0.32,1338
P2,-0.19,0.89,259
P2,-0.18,0.89,257
P2,-0.01,0.21,2410
P2,-0.02,0.21,3035
P2,-0.03,0.21,2684
P2,0.09,0.77,8953
P2,0.11,0.77,2148
P2,0.08,0.77,7402
P2,0.03,0.73,5030
P2,0.01,0.72,25782
P2,-0.10,0.72,254
P2,-0.10,0.73,439
P2,-0.11,0.72,267
P2,0.07,0.22,2099
P2,-0.01,0.24,2754
P2,0.15,0.91,704
P2,0.16,0.91,1197
P2,0.16,0.92,634
P2,0.17,0.91,1292
P2,0.19,0.80,170
P2,0.19,0.81,180
P2,0.20,0.81,261
P2,0.20,0.80,166
P2,0.21,0.80,212
P2,0.22,0.78,922
P2,0.23,0.78,638
P2,-0.01,0.26,1861
P2,-0.02,0.26,1691
P2,-0.03,0.26,2037
P2,0.13,0.40,51257
P2,0.14,0.43,2003
P2,0.09,0.37,49429
P2,-0.04,0.55,637
P2,-0.05,0.55,627
P2,-0.09,1.00,107
P2,-0.09,1.01,145
P2,-0.10,1.01,103
P2,-0.10,1.00,92
P2,-0.14,0.43,390
P2,-0.15,0.43,303
P2,-0.16,0.43,207
P2,-0.01,0.56,680
P2,-0.01,0.57,590
P2,-0.02,0.57,602
P2,-0.02,0.56,809
P2,-0.04,0.84,854
P2,-0.04,0.85,318
P2,-0.05,0.85,247
P2,-0.06,0.85,197
P2,-0.06,0.84,145
P2,0.19,0.96,369
P2,0.20,0.96,311
P2,0.21,0.96,375
P2,0.02,0.50,785
P2,0.02,0.51,374
P2,0.01,0.51,838
P2,0.01,0.50,875
P2,0.00,0.50,730
P2,-0.17,0.97,136
P2,-0.16,0.97,118
P2,-0.04,0.47,549
P2,-0.04,0.48,593
P2,-0.05,0.47,587
P2,-0.12,0.42,351
P2,-0.12,0.43,382
P2,-0.13,0.43,367
P2,-0.14,0.42,252
P2,-0.24,0.41,436
P2,-0.23,0.41,252
P2,0.16,0.66,9820
P2,-0.13,0.82,200
P2,-0.14,0.82,226
P2,-0.14,0.83,111
P2,-0.15,0.83,81
P2,-0.15,0.82,115
P2,0.01,0.28,1699
P2,0.24,0.29,932
P2,0.23,0.29,152
P2,0.22,0.29,162
P2,0.12,0.85,400
P2,0.12,0.86,2064
P2,0.11,0.86,2221
P2,0.11,0.85,259
P2,-0.05,0.43,861
P2,-0.06,0.43,799
P2,-0.07,0.43,572
